epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,406.882,1.5745,3.41231,2.63865,1.8102,0.76149,0.13285,0.10472,0.05599,0.76148,0.13141,0.09852,0.05128,1.60516,3.29754,2.48184,1.83752,0.000302779,0.000302779,0.000302779
2,799.724,1.6241,3.46571,2.60647,1.84455,0.60566,0.11882,0.11865,0.05137,0.61536,0.12549,0.12091,0.05653,1.56369,3.07996,2.3674,1.79042,0.000581791,0.000581791,0.000581791
3,1188.12,1.54457,3.36002,2.53545,1.81042,0.79637,0.12627,0.22658,0.10282,0.76921,0.13294,0.25959,0.13037,1.46902,2.80554,2.25924,1.71844,0.000836804,0.000836804,0.000836804
4,1575.63,1.49046,3.22059,2.41116,1.75661,0.62904,0.27158,0.41999,0.19624,0.623,0.25864,0.40953,0.20837,1.33278,2.6829,2.0634,1.63476,0.000801011,0.000801011,0.000801011
5,1960.6,1.3909,3.06853,2.2968,1.69779,0.86502,0.13255,0.21214,0.13322,0.87241,0.13922,0.281,0.15792,1.24005,2.54718,2.0175,1.58302,0.000765014,0.000765014,0.000765014
6,2344.47,1.36076,3.00685,2.22931,1.67349,0.32178,0.37529,0.37646,0.22478,0.3318,0.39843,0.38543,0.18303,1.13796,2.4947,1.97446,1.47076,0.000729018,0.000729018,0.000729018
7,2726.04,1.31163,2.88886,2.13201,1.62014,0.7243,0.39804,0.4189,0.24449,0.72128,0.3949,0.4213,0.26981,1.23606,2.52089,1.86731,1.5829,0.000693022,0.000693022,0.000693022
8,3110.78,1.29214,2.82952,2.11516,1.62185,0.87577,0.21455,0.35814,0.2374,0.87972,0.21663,0.3139,0.16784,1.17799,2.42675,1.84432,1.51857,0.000657025,0.000657025,0.000657025
9,3493.01,1.25272,2.74269,2.0421,1.58429,0.80548,0.39452,0.4313,0.28332,0.80825,0.40119,0.43486,0.27048,1.11269,2.32177,1.8598,1.47152,0.000621029,0.000621029,0.000621029
10,3874.6,1.23838,2.6933,2.01754,1.57135,0.80981,0.36191,0.45124,0.24933,0.81562,0.36781,0.45233,0.22089,1.05886,2.24595,1.75162,1.42877,0.000585032,0.000585032,0.000585032
